a,e,i,omega,Omega,f,L
5.20222188063307,0.048281033508756406,1.3035892983882253,273.47134252865783,100.51747855062274,45.33758306596065,69.47881237422756
9.54584567874982,0.05465193028020308,2.487482816565467,338.22791944245944,113.59662458155441,250.69667920319583,80.33473221964893
19.19231467118341,0.04723562892221872,0.7721151039806692,96.93754657681481,74.00714138418519,242.06354649390374,228.81409865699337
30.07611532211681,0.00875961255033333,1.7701863929600206,272.48243779996767,131.7812863338115,313.2411437379834,42.496537929882464
9.54584567874982,0.10000000000000014,2.487482816565467,38.22791944245954,113.59662458155441,250.6966792031957,205.41822431601287
9.570638465286128,0.1,2.4874828165653207,38.22791944245959,113.59662458155441,250.69667920319566,205.4182243160128
9.595431251822436,0.10000000000000017,2.4874828165653207,38.22791944245964,113.59662458155441,250.69667920319557,205.41822431601287
9.62022403835875,0.1000000000000002,2.487482816565467,38.22791944245954,113.59662458155441,250.6966792031957,205.41822431601275
9.645016824895055,0.1000000000000003,2.4874828165653207,38.22791944245979,113.59662458155441,250.6966792031954,205.41822431601298
9.669809611431372,0.10000000000000009,2.487482816565467,38.22791944245954,113.59662458155441,250.6966792031957,205.41822431601287
9.694602397967682,0.10000000000000023,2.4874828165653207,38.22791944245964,113.59662458155441,250.69667920319563,205.4182243160128
9.719395184503993,0.10000000000000019,2.4874828165656138,38.22791944245964,113.59662458155441,250.69667920319563,205.41822431601295
9.7441879710403,0.1000000000000001,2.4874828165653207,38.22791944245969,113.59662458155441,250.69667920319552,205.41822431601292
9.768980757576617,0.10000000000000003,2.4874828165656138,38.22791944245954,113.59662458155441,250.6966792031957,205.41822431601284
9.79377354411292,0.10000000000000032,2.487482816565467,38.22791944245989,113.59662458155441,250.69667920319537,205.4182243160132
9.818566330649237,0.10000000000000019,2.487482816565467,38.22791944245954,113.59662458155441,250.6966792031957,205.41822431601287
9.843359117185546,0.10000000000000017,2.487482816565467,38.22791944245969,113.59662458155441,250.69667920319557,205.41822431601292
9.868151903721856,0.10000000000000023,2.487482816565467,38.22791944245969,113.59662458155441,250.69667920319552,205.41822431601292
9.892944690258165,0.10000000000000026,2.4874828165653207,38.227919442459736,113.59662458155441,250.69667920319546,205.41822431601307
9.917737476794484,0.10000000000000005,2.4874828165653207,38.22791944245949,113.59662458155441,250.6966792031957,205.41822431601275
9.942530263330791,0.10000000000000009,2.487482816565467,38.22791944245964,113.59662458155441,250.69667920319563,205.41822431601295
9.967323049867103,0.10000000000000021,2.4874828165656138,38.22791944245954,113.59662458155441,250.6966792031957,205.41822431601287
9.992115836403414,0.10000000000000012,2.4874828165656138,38.22791944245959,113.59662458155441,250.69667920319566,205.4182243160128
10.016908622939724,0.10000000000000023,2.4874828165656138,38.22791944245964,113.59662458155441,250.69667920319557,205.41822431601295
