a,e,i,omega,Omega,f,L
5.20222188063307,0.048281033508756406,1.3035892983882253,273.47134252865783,100.51747855062274,45.33758306596065,69.47881237422756
9.54584567874982,0.05465193028020308,2.487482816565467,338.22791944245944,113.59662458155441,250.69667920319583,80.33473221964893
19.19231467118341,0.04723562892221872,0.7721151039806692,96.93754657681481,74.00714138418519,242.06354649390374,228.81409865699337
30.07611532211681,0.00875961255033333,1.7701863929600206,272.48243779996767,131.7812863338115,313.2411437379834,42.496537929882464
9.545845678749822,0.02000000000000014,2.487482816565467,38.22791944245928,113.59662458155441,250.6966792031959,196.51939918630902
9.570638465286127,0.02000000000000021,2.487482816565467,38.22791944246009,113.59662458155441,250.69667920319512,196.51939918631004
9.595431251822443,0.020000000000000136,2.487482816565467,38.22791944245949,113.59662458155441,250.6966792031957,196.5193991863094
9.620224038358751,0.02000000000000008,2.4874828165656138,38.22791944245954,113.59662458155441,250.69667920319566,196.51939918630882
9.645016824895059,0.020000000000000205,2.4874828165656138,38.22791944246081,113.59662458155441,250.6966792031944,196.51939918631146
9.669809611431374,0.020000000000000063,2.4874828165656138,38.22791944245933,113.59662458155441,250.69667920319586,196.51939918630907
9.69460239796769,0.01999999999999998,2.487482816565467,38.22791944245888,113.59662458155441,250.69667920319634,196.51939918630868
9.71939518450399,0.020000000000000264,2.487482816565467,38.22791944246096,113.59662458155441,250.6966792031943,196.51939918631047
9.744187971040308,0.02000000000000004,2.487482816565467,38.22791944245964,113.59662458155441,250.69667920319563,196.51939918630956
9.768980757576617,0.020000000000000094,2.487482816565467,38.22791944246035,113.59662458155441,250.6966792031949,196.51939918631044
9.793773544112927,0.020000000000000163,2.4874828165653207,38.22791944246015,113.59662458155441,250.69667920319512,196.51939918631007
9.818566330649231,0.020000000000000292,2.487482816565467,38.22791944246152,113.59662458155441,250.69667920319367,196.51939918631092
9.843359117185548,0.02000000000000023,2.487482816565467,38.2279194424602,113.59662458155441,250.696679203195,196.5193991863103
9.868151903721856,0.020000000000000233,2.487482816565467,38.22791944246065,113.59662458155441,250.69667920319455,196.51939918631047
9.892944690258172,0.020000000000000025,2.487482816565467,38.22791944245989,113.59662458155441,250.69667920319532,196.51939918630947
9.917737476794485,0.020000000000000098,2.487482816565467,38.22791944245989,113.59662458155441,250.69667920319532,196.51939918631015
9.942530263330793,0.020000000000000098,2.4874828165653207,38.2279194424602,113.59662458155441,250.69667920319506,196.51939918631012
9.967323049867105,0.020000000000000132,2.4874828165656138,38.22791944245989,113.59662458155441,250.69667920319532,196.51939918630953
9.992115836403414,0.020000000000000115,2.4874828165653207,38.22791944246015,113.59662458155441,250.69667920319512,196.5193991863093
10.016908622939729,0.020000000000000063,2.487482816565467,38.22791944245918,113.59662458155441,250.69667920319603,196.51939918630876
